name,name,a,b,c
96,88,1.0425602203987387,,
97,89,1.0429592282111413,0.9548033679297661,0.961747396825312
98,90,,0.9541141086681121,
99,91,1.0429578269876987,0.9551078056207011,0.9617143642889011
100,92,,,0.9608930630061033
101,93,1.0427777677691565,0.9551350530345489,0.9618071983832549
102,94,1.0420835781114859,,
103,95,1.0427333195880266,0.9547247181397084,0.9620067736493453
104,96,,0.954449119722748,
105,98,1.0450882265018282,0.9572447341543318,0.9603410589665109
106,99,1.045708806483376,0.9562436037200459,0.9612928735845375
107,100,1.046055926374551,0.9561067780827888,0.9613116073392647
108,450,1.0460559781100451,0.9561068290611043,0.9613116501133455
109,197,1.0451090707934163,0.9575915115645055,0.9598848183325807
110,101,1.0449939604443463,0.9577889710026286,0.959240061890186
111,102,,,0.9576909561352915
112,105,1.0442016195050483,0.9577087281317224,0.9594964827812202
113,103,,,0.9559000850159141
114,104,,,0.9539697015524501
115,106,,0.9564699529907968,
116,108,1.0428783619816315,0.9584239378853621,0.9593854715879696
117,107,,0.9548858739523547,
118,109,1.0388778613125906,,
119,300,1.0428784424762403,0.9584240178390276,0.9593855382359916
120,110,1.036971247639641,,
121,111,1.0362414331024197,,
122,112,1.0363355799131062,,
123,113,1.0343323549558672,,
124,114,1.0339189215712499,,
125,135,0.9847733948292731,1.0058824504898543,0.9861453230372413
126,152,0.9876549273855996,1.0043169899424205,0.9887561373988719
127,160r,1.0468345675722024,0.9581297560530079,0.9622387624360037
128,160,0.9794983403122778,1.0019681260563071,0.9806289940937106
129,61s,0.9802288258507266,1.0023294133181244,0.9812953921907783
130,610,0.9802288125196145,1.0023293996864446,0.9812953788451609
